,iddepto,value
6410,21.0,21.82
6411,6.0,17.87
6412,14.0,16.43
6413,27.0,18.76
6414,6.0,16.61148088
6415,24.0,22.4
6416,4.0,15.71
6417,29.0,38.11
6418,14.0,16.39
6419,7.0,24.36
6420,9.0,22.08
6421,23.0,16.09
6422,6.0,26.19
6423,29.0,23.51
6424,14.0,11.44
6425,11.0,25.39
6426,4.0,18.84
6427,8.0,20.01
6428,10.0,35.48
6429,2.0,23.38
6430,21.0,16.7
6431,14.0,12.43
6432,2.0,13.29
6433,8.0,16.62
6434,14.0,12.95
6435,6.0,18.77
6436,30.0,23.62
6437,18.0,31.93
6438,28.0,30.44
6439,,18.4
6440,28.0,30.99
6441,2.0,32.64
6442,19.0,23.04
6443,27.0,28.35
6444,20.0,30.01
6445,14.0,12.23
6446,12.0,21.23
6447,29.0,23.21
6448,30.0,11.29
6449,6.0,13.66
6450,17.0,23.71
6451,11.0,34.48
6452,14.0,15.52
6453,14.0,15.98
6454,6.0,22.12
6455,11.0,21.82
6456,11.0,25.64
6457,27.0,13.64
6458,5.0,26.03
6459,11.0,16.83
6460,6.0,13.98
6461,5.0,24.25
6462,20.0,20.77
6463,6.0,17.31
6464,11.0,15.68
6465,8.0,17.16
6466,14.0,11.56
6467,8.0,14.75
6468,30.0,20.52
6469,14.0,10.86
6470,2.0,24.19
6471,2.0,20.61
6472,27.0,21.17
6473,2.0,17.39
6474,14.0,22.2
6475,14.0,17.05
6476,5.0,20.43
6477,21.0,20.25
6478,29.0,24.93
6479,19.0,18.99445592
6480,5.0,23.76
6481,27.0,18.8
6482,,12.8
6483,27.0,19.34
6484,19.0,26.02
6485,1.0,42.72
6486,17.0,16.02
6487,17.0,16.72
6488,6.0,12.93
6489,23.0,21.72
6490,11.0,22.35278132
6491,28.0,18.53
6492,17.0,13.66
6493,30.0,12.71
6494,1.0,46.2
6495,24.0,14.12
6496,,15.93
6497,27.0,10.48
6498,3.0,36.72
6499,21.0,18.85
6500,4.0,19.28
6501,2.0,14.11
6502,29.0,20.57
6503,6.0,29.55
6504,19.0,15.15
6505,21.0,44.97
6506,2.0,15.13
6507,18.0,15.47
6508,9.0,25.18
6509,6.0,14.92
6510,20.0,37.17
6511,6.0,13.67
6512,20.0,22.54
6513,2.0,22.99
6514,2.0,17.41
6515,6.0,21.1
6516,6.0,21.52
6517,29.0,19.39
6518,23.0,18.24
6519,6.0,23.68
6520,17.0,21.39
6521,12.0,23.47
6522,2.0,16.3
6523,1.0,91.97
6524,13.0,50.07
6525,27.0,13.86
6526,6.0,14.07
6527,6.0,19.38
6528,6.0,13.08
6529,22.0,23.74808582
6530,19.0,20.35
6531,5.0,21.71
6532,24.0,16.35
6533,29.0,38.11
6534,24.0,18.95
6535,15.0,81.19
6536,31.0,42.05692554
6537,21.0,15.33
6538,19.0,37.36
6539,17.0,25.59
6540,29.0,26.19
6541,6.0,16.31
6542,14.0,21.8
6543,6.0,16.83
6544,21.0,17.78
6545,13.0,41.67
6546,7.0,23.18
6547,28.0,39.7
6548,21.0,21.74
6549,14.0,17.66
6550,13.0,25.03
6551,11.0,25.02
6552,27.0,19.52
6553,6.0,18.47
6554,2.0,13.64
6555,14.0,17.96
6556,14.0,17.26
6557,29.0,13.8
6558,14.0,29.17
6559,21.0,14.42
6560,29.0,31.29
6561,14.0,11.77
6562,27.0,21.29
6563,10.0,38.71
6564,30.0,13.04
6565,6.0,23.04
6566,4.0,19.04
6567,5.0,32.34
6568,6.0,24.0
6569,14.0,17.59
6570,2.0,37.07
6571,14.0,19.22
6572,28.0,18.59
6573,,22.73
6574,27.0,24.19
6575,21.0,19.72
6576,11.0,21.27
6577,2.0,15.58
6578,19.0,15.34
6579,14.0,13.26
6580,6.0,18.1
6581,29.0,17.36
6582,6.0,21.49
6583,29.0,17.77
6584,23.0,20.0
6585,31.0,50.63
6586,,12.03
6587,2.0,17.05
6588,27.0,14.3
6589,29.0,30.37
6590,28.0,19.53
6591,23.0,20.26
6592,27.0,18.26
6593,2.0,20.39
6594,4.0,29.82
6595,19.0,18.03
6596,,18.68
6597,13.0,40.62
6598,13.0,27.6
6599,14.0,15.01
6600,14.0,13.45
6601,13.0,39.25
6602,13.0,54.39
6603,4.0,16.95387564
6604,11.0,31.88
6605,2.0,17.38
6606,6.0,17.6
6607,5.0,22.6
6608,13.0,25.97
6609,14.0,19.37
6610,27.0,33.88
6611,31.0,51.86
6612,2.0,10.46
6613,31.0,41.43
6614,4.0,31.44
6615,27.0,20.23
6616,12.0,16.27
6617,6.0,22.1
6618,21.0,35.61
6619,11.0,12.3
6620,14.0,12.92
6621,5.0,21.6
6622,6.0,16.52
6623,27.0,20.52
6624,27.0,23.13
6625,27.0,28.13
6626,6.0,14.05
6627,,15.18
6628,21.0,20.67
6629,25.0,14.37
6630,4.0,16.73
6631,13.0,52.35
6632,30.0,15.43
6633,6.0,15.56
6634,,11.2
6635,5.0,18.72
6636,21.0,43.6
6637,,25.9
6638,8.0,14.54
6639,1.0,56.23
6640,11.0,18.45
6641,10.0,35.48
6642,20.0,37.3
6643,3.0,22.25
6644,,18.8
6645,6.0,19.53
6646,11.0,21.78
6647,13.0,50.02
6648,7.0,31.48
6649,11.0,14.74
6650,7.0,35.23
6651,17.0,23.38
6652,2.0,17.52
6653,14.0,16.61
6654,14.0,12.82
6655,23.0,24.01
6656,27.0,23.82
6657,11.0,27.64
6658,7.0,26.95
6659,15.0,40.58
6660,27.0,19.13
6661,6.0,24.51
6662,14.0,20.28
6663,27.0,21.35
6664,30.0,16.63
6665,28.0,23.69
6666,,23.31
6667,28.0,22.61
6668,30.0,13.34
6669,1.0,91.97
6670,7.0,24.31
6671,14.0,20.76
6672,30.0,21.0
6673,12.0,33.92
6674,20.0,24.02
6675,8.0,14.71
6676,32.0,23.93
6677,7.0,33.36
6678,30.0,12.24
6679,19.0,22.82
6680,2.0,17.39
6681,27.0,18.98
6682,2.0,17.0
6683,27.0,12.33
6684,6.0,20.05
6685,21.0,20.84
6686,2.0,18.68
6687,6.0,12.83
6688,7.0,20.86
6689,2.0,27.7
6690,14.0,13.69
6691,6.0,16.5
6692,2.0,7.77
6693,6.0,19.58
6694,18.0,26.54
6695,14.0,14.08
6696,29.0,20.36
6697,5.0,26.6
6698,6.0,20.12
6699,19.0,21.7
6700,25.0,26.77
6701,12.0,15.37
6702,14.0,12.51
6703,6.0,20.3
6704,7.0,21.17
6705,6.0,17.18
6706,2.0,10.99
6707,11.0,19.06
6708,5.0,21.98
6709,2.0,20.12
6710,17.0,24.17
6711,2.0,15.39
6712,14.0,21.74
6713,2.0,18.79
6714,21.0,21.49
6715,28.0,18.9
6716,9.0,20.18
6717,27.0,16.53
6718,2.0,14.82
6719,2.0,11.15
6720,20.0,28.56
6721,13.0,58.18
6722,13.0,40.03
6723,21.0,19.79
6724,23.0,33.75
6725,3.0,15.86
6726,17.0,16.14
6727,14.0,14.55
6728,13.0,52.54
6729,27.0,10.97
6730,14.0,14.71
6731,14.0,17.88
6732,10.0,27.46
6733,19.0,25.84
6734,10.0,34.76
6735,3.0,15.85
6736,14.0,20.51
6737,16.0,35.18
6738,21.0,17.2
6739,6.0,26.15
6740,5.0,20.15
6741,17.0,23.94
6742,14.0,22.24
6743,6.0,24.67
6744,8.0,9.73
6745,2.0,15.53
6746,1.0,40.18
6747,2.0,18.44
6748,6.0,17.39
6749,,15.8
6750,20.0,26.72
6751,11.0,15.58
6752,29.0,14.06
6753,20.0,28.72
6754,6.0,24.55
6755,25.0,13.84
6756,9.0,22.08385878
6757,24.0,13.01480254
6758,2.0,15.41
6759,29.0,14.79
6760,21.0,20.46
6761,11.0,27.81
6762,10.0,23.58
6763,20.0,26.75
6764,20.0,42.95
6765,,14.19
6766,6.0,21.84
6767,6.0,28.24
6768,4.0,18.05
6769,27.0,13.02
6770,29.0,17.47
6771,11.0,29.13
6772,24.0,14.19
6773,7.0,29.06
6774,21.0,27.0
6775,7.0,26.06
6776,2.0,17.15
6777,19.0,19.06
6778,6.0,22.96
6779,2.0,13.51
6780,,11.06
6781,29.0,26.89
6782,15.0,37.30086251
6783,2.0,26.15
6784,5.0,16.44
6785,27.0,23.94
6786,14.0,12.89
6787,14.0,12.0
6788,2.0,15.09
6789,2.0,30.51
6790,17.0,15.35
6791,9.0,27.59
6792,24.0,16.14
6793,21.0,16.7
6794,28.0,29.52
6795,,12.31
6796,21.0,22.31
6797,2.0,17.05
6798,9.0,22.54
6799,8.0,16.11
6800,28.0,33.01
6801,2.0,20.87
6802,29.0,18.57
6803,17.0,20.38
6804,14.0,23.49
6805,4.0,15.32
6806,21.0,24.27
6807,13.0,40.62
6808,30.0,17.12
6809,20.0,27.65
6810,27.0,16.07
6811,4.0,15.93
6812,14.0,13.8
6813,14.0,24.14
6814,14.0,12.65
6815,14.0,22.62
6816,21.0,16.99
6817,28.0,30.71
6818,16.0,35.60981964
6819,17.0,12.76
6820,11.0,13.74
6821,23.0,14.9
6822,6.0,14.26
6823,10.0,46.03
6824,2.0,26.99
6825,17.0,18.67
6826,12.0,25.62
6827,6.0,11.14
6828,,11.28
6829,11.0,27.86
6830,20.0,20.71
6831,18.0,18.61
6832,6.0,30.4
6833,30.0,14.22
6834,5.0,33.45
6835,8.0,14.61
6836,6.0,16.28
6837,2.0,17.16
6838,6.0,17.27
6839,28.0,28.58
6840,27.0,17.86
6841,,16.85
6842,10.0,19.57
6843,6.0,22.72
6844,6.0,21.04
6845,6.0,15.88
6846,4.0,19.9
6847,2.0,15.99
6848,29.0,12.64
6849,2.0,16.13
6850,2.0,15.54
6851,21.0,21.91
6852,,13.8
6853,10.0,35.79
6854,14.0,13.48
6855,21.0,39.23
6856,27.0,24.84
6857,21.0,19.39
6858,17.0,25.69
6859,30.0,13.06
6860,5.0,29.34
6861,31.0,34.91
6862,13.0,60.9
6863,21.0,46.34
6864,29.0,13.89
6865,6.0,25.54
6866,4.0,15.98
6867,14.0,16.66
6868,7.0,26.96
6869,14.0,13.14
6870,27.0,19.52
6871,12.0,17.2
6872,11.0,22.05
6873,14.0,15.77
6874,14.0,15.24
6875,6.0,16.28
6876,2.0,17.46
6877,21.0,13.55747595
6878,6.0,27.53
6879,27.0,16.08
6880,17.0,23.16
6881,19.0,22.56
6882,6.0,22.68
6883,12.0,26.48
6884,6.0,18.52
6885,14.0,15.49
6886,,23.28
6887,,13.4
6888,30.0,16.68
6889,6.0,20.32
6890,3.0,27.3
6891,21.0,21.48
6892,30.0,12.52
6893,20.0,24.8
6894,12.0,20.13724977
6895,2.0,16.08
6896,11.0,22.32
6897,21.0,19.19
6898,6.0,14.07
6899,27.0,18.39
6900,14.0,13.23
6901,6.0,24.05
6902,24.0,14.02
6903,23.0,27.18
6904,27.0,9.77
6905,23.0,20.30539543
6906,2.0,15.79
6907,2.0,23.97
6908,8.0,15.87
6909,4.0,17.83
6910,2.0,20.92
6911,2.0,24.78
6912,14.0,21.75
6913,14.0,15.3
6914,2.0,10.89
6915,4.0,23.55
6916,30.0,14.19
6917,6.0,17.97
6918,27.0,27.63
6919,7.0,32.02
6920,14.0,16.27
6921,11.0,13.51
6922,5.0,33.29
6923,20.0,40.3
6924,2.0,23.53
6925,6.0,16.27
6926,21.0,20.67
6927,7.0,21.7
6928,2.0,19.77
6929,17.0,19.53
6930,24.0,13.84
6931,25.0,16.99
6932,21.0,20.43
6933,21.0,27.52
6934,17.0,18.43789835
6935,14.0,13.49
