"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"10407","ttdiesti",28,"sucre",954,"sampues",2008,20.5
"10408","ctrmormt",NA,"bogota",NA,NA,2008,44
"10409","pcrparin",23,"putumayo",NA,NA,2008,93.35027531
"10410","ttdiesti",23,"putumayo",818,"puerto guzman",2008,21.27
"10411","ttdiesti",27,"santander",925,"san joaquin",2008,20.09
"10412","ttdiesti",2,"antioquia",33,"caicedo",2008,21.41
"10413","ttdiesti",4,"atlantico",93,"sabanalarga",2008,29.82
"10414","pcrparin",31,"vaupes",1054,"caruru",2008,50
"10415","pbretaia",16,"guaviare",NA,NA,2008,NA
"10416","pgeembar",29,"tolima",NA,NA,2008,NA
"10417","pcrparin",2,"antioquia",94,"sabaneta",2008,99.8
"10418","pcrparin",11,"cauca",411,"buenos aires",2008,96.65
"10419","pcrperca",29,"tolima",NA,NA,2008,96.56366911
"10420","pbepredc",17,"huila",NA,NA,2008,NA
"10421","igrtgfec",23,"putumayo",NA,NA,2008,NA
"10422","pcrparin",11,"cauca",424,"mercaderes",2008,98.67
"10423","ttdiesti",19,"magdalena",664,"ariguani",2008,18.93
"10424","ttdiesti",22,"norte de santander",119,"toledo",2008,19.12
"10425","pcrparin",21,"narino",562,"ricaurte",2008,61.75
"10426","pcrparin",21,"narino",732,"funes",2008,89.87
"10427","ttdiesti",13,"choco",484,"quibdo",2008,44.68
"10428","pcrparin",7,"cordoba",97,"san carlos",2008,98.61
"10429","pcrparin",17,"huila",619,"algeciras",2008,88.31
"10430","pcrparin",29,"tolima",984,"guamo",2008,99.37
"10431","ttdiesti",13,"choco",489,"unguia",2008,27.95
"10432","pcrparin",30,"valle del cauca",1031,"guadalajara de buga",2008,99.52
"10433","pcrparin",9,"caqueta",380,"la montanita",2008,95.35
"10434","ttdiesti",14,"cundinamarca",507,"chipaque",2008,15.36
"10435","ttdiesti",14,"cundinamarca",556,"pasca",2008,13.76
"10436","pcrparin",27,"santander",108,"santa barbara",2008,91.67
"10437","ttdiesti",13,"choco",NA,"certegui",2008,41.22
"10438","pcrparin",19,"magdalena",NA,"cerro san antonio",2008,97.09
"10439","cgrnacim",2,"antioquia",NA,NA,2008,90973
"10440","ttdiesti",13,"choco",NA,"rio iro",2008,57.5
"10441","pcrparin",1,"amazonas",NA,NA,2008,81.31241084
"10442","pcrparin",14,"cundinamarca",535,"junin",2008,96.34
"10443","ttdiesti",4,"atlantico",NA,NA,2008,17.36810045
"10444","pgeembar",14,"cundinamarca",NA,NA,2008,NA
"10445","pcrparin",9,"caqueta",379,"florencia",2008,99.53
"10446","pcrparin",2,"antioquia",104,"san pedro de uraba",2008,91.01
"10447","ttdiesti",11,"cauca",442,"timbiqui",2008,33.47
"10448","igrtgfec",29,"tolima",NA,NA,2008,NA
"10449","ttdiesti",2,"antioquia",99,"san jeronimo",2008,17.79
"10450","ttdiesti",6,"boyaca",252,"mongui",2008,18.85
"10451","ttdiesti",5,"bolivar",171,"cicuco",2008,23.73
"10452","ttdiesti",13,"choco",486,"san jose del palmar",2008,28.57
"10453","pgeembar",26,"san andres y providencia",NA,NA,2008,NA
"10454","pgeembar",8,"caldas",NA,NA,2008,NA
"10455","pbepredc",12,"cesar",NA,NA,2008,NA
"10456","pcrparin",2,"antioquia",104,"san pedro de uraba",2008,98.87
"10457","pgeembar",NA,"bogota",NA,NA,2008,NA
"10458","pcrparin",5,"bolivar",190,"santa rosa del sur",2008,82.25
"10459","pcrparin",7,"cordoba",NA,NA,2008,98.79518072
"10460","pcrparin",30,"valle del cauca",1019,"caicedonia",2008,99.2
"10461","cgrnacim",20,"meta",NA,NA,2008,22341
"10462","pcrparin",27,"santander",886,"florian",2008,70.69
"10463","rtrmorpu",17,"huila",NA,NA,2008,38.92
"10464","pcrparin",6,"boyaca",319,"villa de leyva",2008,99.03
"10465","pcrrncpn",2,"antioquia",NA,NA,2008,85.79
"10466","ttdiesti",14,"cundinamarca",545,"medina",2008,20.34
"10467","pcrparin",14,"cundinamarca",528,"guasca",2008,99.48
"10468","pcrparin",5,"bolivar",164,"altos del rosario",2008,90.08
"10469","ttdiesti",27,"santander",905,"macaravita",2008,33.88
"10470","pbepredg",7,"cordoba",NA,NA,2008,NA
"10471","ttdiesti",31,"vaupes",NA,"pacoa ",2008,51.86
"10472","pcrparin",2,"antioquia",12,"amaga",2008,99.45
"10473","ttdiesti",2,"antioquia",70,"la ceja",2008,10.56
"10474","pcrparin",5,"bolivar",NA,"san estanislao",2008,99.37
"10475","ttdiesti",31,"vaupes",NA,"yavarate ",2008,41.43
"10476","pcrparin",25,"risaralda",844,"la virginia",2008,99.62
"10477","ttdiesti",4,"atlantico",148,"manati",2008,31.44
"10478","pcrparin",11,"cauca",428,"padilla",2008,96.58
"10479","ttdiesti",27,"santander",939,"vetas",2008,21.66
"10480","ttdiesti",12,"cesar",452,"curumani",2008,17.08
"10481","pbrmivih",15,"guainia",NA,NA,2008,NA
"10482","pcrparin",29,"tolima",969,"anzoategui",2008,96.67
"10483","ptrldeng",5,"bolivar",NA,NA,2008,0
"10484","pcrparin",22,"norte de santander",801,"ragonvalia",2008,100
"10485","pbehtaco",6,"boyaca",NA,NA,2008,NA
"10486","cgrnacim",12,"cesar",NA,NA,2008,17319
"10487","ttdiesti",6,"boyaca",234,"gameza",2008,22.1
"10488","ttdiesti",21,"narino",NA,"san andres de tumaco",2008,35.61
"10489","ttdiesti",11,"cauca",431,"popayan",2008,12.91
"10490","pcrparin",19,"magdalena",NA,"pijino del carmen",2008,93.38
"10491","pcrparin",11,"cauca",NA,NA,2008,93.83913621
"10492","ttdiesti",14,"cundinamarca",574,"soacha",2008,13.56
"10493","ttdiesti",5,"bolivar",165,"arjona",2008,22.11
"10494","pcrparin",22,"norte de santander",808,"sardinata",2008,88.18
"10495","ttdiesti",6,"boyaca",265,"pauna",2008,18.17
"10496","pgeembar",1,"amazonas",NA,NA,2008,NA
"10497","cgrnacim",8,"caldas",NA,NA,2008,19193
"10498","pbehtaco",32,"vichada",NA,NA,2008,NA
"10499","rgrtgfec",2,"antioquia",NA,NA,2008,NA
"10500","pcrparin",2,"antioquia",27,"betulia",2008,96.56
"10501","pcrparin",7,"cordoba",335,"pueblo nuevo",2008,97.7
"10502","ctrmormt",30,"valle del cauca",NA,NA,2008,27
"10503","pbepredg",2,"antioquia",NA,NA,2008,NA
"10504","ttdiesti",27,"santander",890,"galan",2008,21.37
"10505","ttdiesti",27,"santander",897,"jesus maria",2008,25.45
"10506","pcrparin",14,"cundinamarca",553,"paime",2008,97.83
"10507","ttdiesti",27,"santander",901,"landazuri",2008,29.42
"10508","pcrparin",14,"cundinamarca",536,"la calera",2008,99.75
"10509","ttdiesti",6,"boyaca",267,"paz de rio",2008,15.46
"10510","ttdiesti",26,"san andres y providencia",854,"san andres",2008,15.94
"10511","ttdiesti",21,"narino",NA,"el penol",2008,21.71
"10512","ttdiesti",25,"risaralda",850,"santa rosa de cabal",2008,15.81
"10513","ttdiesti",4,"atlantico",153,"puerto colombia",2008,17.12
"10514","ttdiesti",13,"choco",470,"alto baudo",2008,53.26
"10515","pcrparin",2,"antioquia",75,"marinilla",2008,99.56
"10516","pcrparin",10,"casanare",403,"tauramena",2008,98.73
"10517","pcrparin",8,"caldas",NA,"norcasia",2008,98
"10518","pcrparin",6,"boyaca",295,"somondoco",2008,100
"10519","pcrparin",22,"norte de santander",809,"teorama",2008,100
"10520","pcrparin",22,"norte de santander",NA,"cucuta",2008,98.83
"10521","ttdiesti",30,"valle del cauca",1048,"ulloa",2008,16.27
"10522","ttdiesti",6,"boyaca",201,"arcabuco",2008,16.66
"10523","pcrparin",2,"antioquia",37,"caramanta",2008,100
"10524","pcrparin",27,"santander",888,"gambita",2008,97.3
"10525","pcrparin",12,"cesar",451,"chiriguana",2008,91.54
"10526","pcrparin",12,"cesar",456,"gonzalez",2008,100
"10527","ttdiesti",22,"norte de santander",798,"pamplona",2008,11.46
"10528","ttdiesti",5,"bolivar",180,"morales",2008,19.66
"10529","ttdiesti",21,"narino",758,"roberto payan",2008,43.6
"10530","pcrparin",21,"narino",754,"providencia",2008,93.33
"10531","pcrparin",1,"amazonas",246,"la victoria",2008,100
"10532","pcrparin",17,"huila",636,"paicol",2008,97.78
"10533","pbepredg",25,"risaralda",NA,NA,2008,NA
"10534","ttdiesti",22,"norte de santander",786,"el tarra",2008,27.69
"10535","pcrparin",14,"cundinamarca",500,"cabrera",2008,98.48
"10536","ttdiesti",8,"caldas",357,"manzanares",2008,15.57
"10537","ttdiesti",1,"amazonas",NA,"el encanto ",2008,56.23
"10538","ttdiesti",11,"cauca",415,"corinto",2008,19.38
"10539","pcrparin",2,"antioquia",42,"cisneros",2008,100
"10540","ttdiesti",10,"casanare",391,"la salina",2008,38.24
"10541","pcrparin",28,"sucre",NA,"tolu viejo",2008,98.16
"10542","pcrparin",20,"meta",NA,"vistahermosa",2008,89.16
"10543","cgrnacim",29,"tolima",NA,NA,2008,16021
"10544","ctrmormt",32,"vichada",NA,NA,2008,0
"10545","pbepredc",14,"cundinamarca",NA,NA,2008,NA
"10546","ttdiesti",20,"meta",NA,"uribe",2008,37.3
"10547","pcrparin",21,"narino",740,"la florida",2008,100
"10548","ttdiesti",3,"arauca",136,"fortul",2008,23.15
"10549","rtrmorpu",6,"boyaca",NA,NA,2008,62.52
"10550","pcrparin",23,"putumayo",824,"valle del guamuez",2008,96.14
"10551","ttdiesti",22,"norte de santander",809,"teorama",2008,19.24
"10552","igrtgfec",NA,"bogota",NA,NA,2008,NA
"10553","pcrparin",27,"santander",926,"san jose de miranda",2008,100
"10554","pcrrncpn",19,"magdalena",NA,NA,2008,80.03
"10555","pcrparin",17,"huila",641,"rivera",2008,94.5
"10556","pcrparin",17,"huila",647,"tello",2008,92.61
"10557","pcrparin",6,"boyaca",271,"quipama",2008,97.73
"10558","pcrparin",2,"antioquia",66,"itagui",2008,99.83
"10559","pcrparin",14,"cundinamarca",600,"villeta",2008,99.19
"10560","pcrparin",6,"boyaca",205,"boavita",2008,96
"10561","pcrparin",5,"bolivar",NA,"magangue",2008,98.23
"10562","pcrparin",2,"antioquia",107,"san vicente",2008,97.29
"10563","pcrparin",19,"magdalena",682,"tenerife",2008,98.13
"10564","pcrparin",7,"cordoba",327,"chinu",2008,98.37
"10565","ttdiesti",6,"boyaca",270,"puerto boyaca",2008,21.48
"10566","ttdiesti",11,"cauca",409,"balboa",2008,22.86
"10567","pcrperca",16,"guaviare",NA,NA,2008,96.41959799
"10568","ttdiesti",13,"choco",365,"riosucio",2008,50.02
"10569","pcrparin",6,"boyaca",315,"tuta",2008,93.62
"10570","pcrparin",8,"caldas",350,"aranzazu",2008,98.17
"10571","ttdiesti",7,"cordoba",324,"canalete",2008,33.06
"10572","pcrparin",6,"boyaca",259,"otanche",2008,95.86
"10573","ttdiesti",11,"cauca",432,"puerto tejada",2008,15.48
"10574","ttdiesti",7,"cordoba",NA,"tuchin (1)",2008,35.23
"10575","ttdiesti",17,"huila",646,"tarqui",2008,25.02
"10576","pcrparin",2,"antioquia",100,"san jose de la montana",2008,100
"10577","ttdiesti",2,"antioquia",88,"puerto nare",2008,18.39
"10578","ttdiesti",14,"cundinamarca",490,"agua de dios",2008,17
"10579","pcrparin",20,"meta",NA,NA,2008,97.65332657
"10580","pbepredc",3,"arauca",NA,NA,2008,NA
"10581","pcrparin",14,"cundinamarca",575,"sopo",2008,99.72
"10582","pcrparin",28,"sucre",NA,"palmito",2008,97.87
"10583","ttdiesti",14,"cundinamarca",517,"fuquene",2008,13.12
"10584","pcrparin",27,"santander",876,"confines",2008,100
"10585","ttdiesti",23,"putumayo",815,"orito",2008,25.21
"10586","ttdiesti",27,"santander",27,"betulia",2008,23.82
"10587","ttdiesti",11,"cauca",413,"caldono",2008,29.02
"10588","pcrparin",6,"boyaca",270,"puerto boyaca",2008,99.18
"10589","pbrmivih",13,"choco",NA,NA,2008,NA
"10590","pcrparin",2,"antioquia",19,"apartado",2008,99.21
"10591","ttdiesti",7,"cordoba",208,"buenavista",2008,28.3
"10592","pcrparin",18,"la guajira",659,"san juan del cesar",2008,98.54
"10593","pcrparin",19,"magdalena",670,"fundacion",2008,99.51
"10594","rtrmorpu",7,"cordoba",NA,NA,2008,87.69
"10595","pgeembar",32,"vichada",NA,NA,2008,NA
"10596","pcrparin",27,"santander",865,"california",2008,100
"10597","ttdiesti",15,"guainia",NA,"barranco minas ",2008,44.64
"10598","pcrparin",3,"arauca",136,"fortul",2008,83.24
"10599","pcrparin",2,"antioquia",102,"san luis",2008,96.98
"10600","ttdiesti",27,"santander",866,"capitanejo",2008,19.41
"10601","pbepredg",31,"vaupes",NA,NA,2008,NA
"10602","ttdiesti",6,"boyaca",226,"cuitiva",2008,26.97
"10603","pcrparin",14,"cundinamarca",576,"subachoque",2008,97.44
"10604","ptrldeng",7,"cordoba",NA,NA,2008,0.92
"10605","pgeembar",31,"vaupes",NA,NA,2008,NA
"10606","pcrparin",17,"huila",622,"campoalegre",2008,87.61
"10607","pcrparin",10,"casanare",396,"paz de ariporo",2008,97.54
"10608","pcrparin",29,"tolima",985,"herveo",2008,95.79
"10609","pcrparin",2,"antioquia",124,"valparaiso",2008,98.28
"10610","ttdiesti",14,"cundinamarca",573,"simijaca",2008,20.76
"10611","ttdiesti",27,"santander",923,"san benito",2008,22.8
"10612","pcrparin",14,"cundinamarca",552,"pacho",2008,99.28
"10613","pcrparin",6,"boyaca",311,"tota",2008,96.3
"10614","ttdiesti",30,"valle del cauca",704,"restrepo",2008,17.54
"10615","ttdiesti",28,"sucre",960,"san pedro",2008,24.88
"10616","ttdiesti",22,"norte de santander",777,"bucarasica",2008,23.85
"10617","ttdnesti",14,"cundinamarca",NA,NA,2008,22.64397072
"10618","pcrparin",7,"cordoba",326,"chima",2008,99.39
"10619","ttdiesti",28,"sucre",950,"los palmitos",2008,23.74
"10620","pcrparin",29,"tolima",NA,"mariquita",2008,96.59
"10621","pcrparin",15,"guainia",NA,NA,2008,84.71001757
"10622","ttdiesti",30,"valle del cauca",1044,"sevilla",2008,14.28
"10623","ttdiesti",1,"amazonas",NA,"la victoria ",2008,91.97
"10624","ttdiesti",7,"cordoba",NA,"cotorra",2008,25.52
"10625","ttdiesti",14,"cundinamarca",598,"villagomez",2008,21.8
"10626","pcrparin",11,"cauca",422,"la vega",2008,96.95
"10627","pcrparin",2,"antioquia",43,"cocorna",2008,99
"10628","rgrtgfec",4,"atlantico",NA,NA,2008,NA
"10629","ttdiesti",30,"valle del cauca",28,"bolivar",2008,21
"10630","ttdiesti",12,"cesar",NA,"pueblo bello",2008,33.92
"10631","caelacex",3,"arauca",NA,NA,2008,NA
"10632","pcrparin",30,"valle del cauca",1051,"yotoco",2008,99.46
"10633","ttdiesti",20,"meta",707,"san juanito",2008,24.29
"10634","ttdiesti",8,"caldas",368,"samana",2008,15.75
"10635","ttdiesti",32,"vichada",1061,"la primavera",2008,25.13
"10636","ttdiesti",7,"cordoba",329,"los cordobas",2008,33.36
"10637","pcrparin",20,"meta",706,"san juan de arama",2008,92.91
"10638","ttdiesti",30,"valle del cauca",1031,"guadalajara de buga",2008,13.1
"10639","ttdiesti",19,"magdalena",669,"el pinon",2008,23.96
"10640","pcrparin",21,"narino",737,"imues",2008,97.62
"10641","ttdiesti",2,"antioquia",86,"pueblorrico",2008,17.8
"10642","pcrparin",5,"bolivar",186,"san juan nepomuceno",2008,98.96
"10643","pcrparin",27,"santander",860,"barrancabermeja",2008,99.57
"10644","ptrldeng",10,"casanare",NA,NA,2008,0
"10645","pcrparin",23,"putumayo",823,"sibundoy",2008,96.1
"10646","ttdiesti",27,"santander",459,"la paz",2008,18.98
"10647","ttdiesti",2,"antioquia",77,"montebello",2008,17.4
"10648","ttdiesti",27,"santander",902,"lebrija",2008,13.2
"10649","pcrparin",17,"huila",634,"neiva",2008,99.21
"10650","pcrparin",27,"santander",937,"velez",2008,99.64
"10651","ttdiesti",6,"boyaca",289,"sativasur",2008,22.05
"10652","ttdiesti",21,"narino",745,"linares",2008,21.88
"10653","ttdiesti",2,"antioquia",90,"remedios",2008,19.12
"10654","pcrparin",13,"choco",469,"acandi",2008,98.95
"10655","ttdiesti",6,"boyaca",238,"guateque",2008,13.73
"10656","pcrparin",2,"antioquia",131,"yondo",2008,98.8
"10657","ttdiesti",7,"cordoba",331,"momil",2008,21.9
"10658","ttdiesti",2,"antioquia",32,"canasgordas",2008,27.7
"10659","ttdiesti",14,"cundinamarca",587,"tocaima",2008,14.01
"10660","ttdiesti",6,"boyaca",315,"tuta",2008,18.14
"10661","ttdiesti",2,"antioquia",66,"itagui",2008,7.87
"10662","ttdiesti",6,"boyaca",275,"sachica",2008,20.96
"10663","pcrparin",27,"santander",61,"guadalupe",2008,100
"10664","pcrparin",27,"santander",899,"la belleza",2008,88.55
"10665","pcrparin",18,"la guajira",460,"manaure",2008,77.38
"10666","pcrparin",20,"meta",699,"puerto concordia",2008,98.31
"10667","pcrparin",32,"vichada",1062,"puerto carreno",2008,96.2
"10668","ttdiesti",18,"la guajira",NA,"hatonuevo",2008,29.2
"10669","pcrparin",30,"valle del cauca",960,"san pedro",2008,99.5
"10670","ttdnesti",20,"meta",NA,NA,2008,38.99296748
"10671","pcrparin",6,"boyaca",235,"gachantiva",2008,92.86
"10672","pcrparin",27,"santander",857,"aratoca",2008,97.64
"10673","ttdiesti",14,"cundinamarca",522,"gachancipa",2008,14.41
"10674","pcrparin",29,"tolima",1009,"venadillo",2008,98.74
"10675","ttdiesti",29,"tolima",1001,"rovira",2008,20.87
"10676","pcrparin",6,"boyaca",200,"aquitania",2008,99.34
"10677","ttdiesti",5,"bolivar",NA,"rio viejo (1)",2008,26.6
"10678","pcrparin",6,"boyaca",236,"garagoa",2008,99.58
"10679","pcrparin",30,"valle del cauca",1045,"toro",2008,99.53
"10680","ttdiesti",6,"boyaca",260,"paez",2008,20.32
"10681","ttdiesti",19,"magdalena",NA,"pijino del carmen",2008,22.79
"10682","pgeembar",27,"santander",NA,NA,2008,NA
"10683","ttdiesti",25,"risaralda",846,"mistrato",2008,26.77
"10684","pcrparin",2,"antioquia",73,"liborina",2008,94.7
"10685","ttdiesti",12,"cesar",468,"valledupar",2008,16.14
"10686","ttdiesti",14,"cundinamarca",513,"el colegio",2008,12.81
"10687","pcrparin",14,"cundinamarca",494,"apulo",2008,98.08
"10688","pcrparin",14,"cundinamarca",550,"nimaima",2008,100
"10689","pcrparin",14,"cundinamarca",498,"bojaca",2008,99.29
"10690","pcrparin",29,"tolima",974,"casabianca",2008,97.32
"10691","pcrparin",2,"antioquia",17,"anori",2008,95.05
"10692","pcrparin",9,"caqueta",381,"milan",2008,98.06
"10693","ttdiesti",6,"boyaca",223,"coper",2008,20.32
"10694","ttdiesti",7,"cordoba",333,"monteria",2008,22.23
"10695","pbretaia",3,"arauca",NA,NA,2008,NA
"10696","pcrparin",3,"arauca",135,"cravo norte",2008,82.11
"10697","pbepredg",18,"la guajira",NA,NA,2008,NA
"10698","ttdiesti",6,"boyaca",306,"tinjaca",2008,18.39
"10699","igrtgfec",17,"huila",NA,NA,2008,NA
"10700","ttdiesti",2,"antioquia",71,"la estrella",2008,11.09
"10701","pcrparin",17,"huila",620,"altamira",2008,95.92
"10702","ttdiesti",11,"cauca",439,"sotara",2008,20.01
"10703","cgrnacim",4,"atlantico",NA,NA,2008,41432
"10704","pcrparin",21,"narino",108,"santa barbara",2008,91.04
"10705","pcrparin",21,"narino",735,"gualmatan",2008,98.41
"10706","pcrparin",14,"cundinamarca",548,"nemocon",2008,99.59
"10707","pcrparin",2,"antioquia",89,"puerto triunfo",2008,97.92
"10708","pcrparin",28,"sucre",NA,"santiago de tolu",2008,99.63
"10709","ttdiesti",5,"bolivar",175,"mahates",2008,23.08
"10710","pcrparin",21,"narino",745,"linares",2008,95.33
"10711","pcrparin",28,"sucre",960,"san pedro",2008,98.33
"10712","pcrparin",17,"huila",363,"palestina",2008,91.44
"10713","ttdiesti",2,"antioquia",83,"olaya",2008,21.13
"10714","ttdiesti",17,"huila",629,"iquira",2008,25.38
"10715","pcrparin",13,"choco",477,"el carmen de atrato",2008,100
"10716","pbretaia",1,"amazonas",NA,NA,2008,NA
"10717","cgrnacim",19,"magdalena",NA,NA,2008,12821
"10718","ttdiesti",2,"antioquia",53,"entrerrios",2008,15.76
"10719","pcrparin",14,"cundinamarca",537,"la mesa",2008,99.77
"10720","pcrrncpn",21,"narino",NA,NA,2008,80.08
"10721","ttdiesti",14,"cundinamarca",532,"guayabetal",2008,22.29
"10722","pcrparin",13,"choco",NA,NA,2008,94.01939655
"10723","pcrparin",14,"cundinamarca",497,"bituima",2008,100
"10724","pcrparin",22,"norte de santander",786,"el tarra",2008,99.01
"10725","ttdiesti",2,"antioquia",119,"toledo",2008,19.73
"10726","pcrparin",8,"caldas",361,"neira",2008,98.16
"10727","ttdiesti",21,"narino",721,"colon",2008,22.57
"10728","ttdiesti",28,"sucre",NA,"tolu viejo",2008,19.84
"10729","pcrparin",25,"risaralda",846,"mistrato",2008,95.32
"10730","ttdiesti",9,"caqueta",124,"valparaiso",2008,20.18
"10731","ttdiesti",27,"santander",903,"los santos",2008,17.7
"10732","ttdiesti",2,"antioquia",51,"el carmen de viboral",2008,14.95
"10733","ptrldeng",20,"meta",NA,NA,2008,1.22
"10734","rgrtgfec",NA,"bogota",NA,NA,2008,NA
"10735","ttdiesti",2,"antioquia",52,"el santuario",2008,11.43
"10736","pcrparin",11,"cauca",NA,"lopez",2008,91.95
"10737","ttdiesti",20,"meta",60,"granada",2008,29.99
"10738","ttdiesti",13,"choco",480,"jurado",2008,58.96
"10739","ttdiesti",13,"choco",488,"tado",2008,40.03
"10740","pcrparin",2,"antioquia",80,"narino",2008,95.26
"10741","ttdiesti",21,"narino",753,"potosi",2008,20.78
"10742","pcrparin",6,"boyaca",231,"el espino",2008,92.86
"10743","pcrparin",21,"narino",773,"yacuanquer",2008,98.32
"10744","pcrparin",14,"cundinamarca",569,"sasaima",2008,97.32
"10745","pcrparin",21,"narino",728,"el rosario",2008,91.36
"10746","ttdiesti",23,"putumayo",825,"villagarzon",2008,35.44
"10747","caelacex",24,"quindio",NA,NA,2008,NA
"10748","ttdiesti",3,"arauca",137,"puerto rondon",2008,16.23
"10749","ttdiesti",17,"huila",639,"pitalito",2008,16.52
"10750","ttdiesti",14,"cundinamarca",584,"tenjo",2008,14.89
"10751","pcrparin",14,"cundinamarca",529,"guataqui",2008,100
"10752","pcrparin",11,"cauca",420,"jambalo",2008,90.72
"10753","pcrparin",2,"antioquia",57,"gomez plata",2008,98.21
"10754","pcrparin",26,"san andres y providencia",854,"san andres",2008,99.75
"10755","ttdiesti",13,"choco",474,"bojaya",2008,52.54
"10756","ttdiesti",27,"santander",863,"bucaramanga",2008,11.75
"10757","ttdiesti",14,"cundinamarca",577,"suesca",2008,15.05
"10758","ttdiesti",14,"cundinamarca",563,"san antonio del tequendama",2008,18.3
"10759","pcrparin",14,"cundinamarca",554,"pandi",2008,97.62
"10760","pcrparin",6,"boyaca",279,"san jose de pare",2008,95.52
"10761","pcrparin",22,"norte de santander",791,"la esperanza",2008,99.17
"10762","pcrperca",24,"quindio",NA,NA,2008,99.24231169
"10763","ttdiesti",10,"casanare",396,"paz de ariporo",2008,28.83
"10764","ttdiesti",19,"magdalena",45,"concordia",2008,27.13
"10765","pcrparin",22,"norte de santander",782,"convencion",2008,99.59
"10766","pcrparin",23,"putumayo",815,"orito",2008,91.2
"10767","ttdiesti",10,"casanare",397,"pore",2008,34.76
"10768","pcrparin",14,"cundinamarca",601,"viota",2008,99.38
"10769","pcrparin",2,"antioquia",51,"el carmen de viboral",2008,98.98
"10770","pcrparin",27,"santander",890,"galan",2008,100
"10771","pcrparin",21,"narino",731,"francisco pizarro",2008,92.11
"10772","ttdiesti",3,"arauca",138,"saravena",2008,16.65
"10773","pcrparin",29,"tolima",983,"fresno",2008,95.06
"10774","ttdiesti",14,"cundinamarca",504,"carmen de carupa",2008,20.99
"10775","pcrparin",4,"atlantico",NA,NA,2008,99.58727554
"10776","pcrperca",6,"boyaca",NA,NA,2008,98.33793571
"10777","cgrnacim",31,"vaupes",NA,NA,2008,1592
"10778","ttdiesti",16,"guaviare",615,"san jose del guaviare",2008,36.94
"10779","pcrperca",15,"guainia",NA,NA,2008,84.53427065
"10780","ttdiesti",21,"narino",714,"ancuya",2008,18.06
"10781","pcrparin",22,"norte de santander",715,"arboleda",2008,95.73
"10782","pcrparin",8,"caldas",358,"marmato",2008,94.59
"10783","ttdiesti",6,"boyaca",214,"chiquiza",2008,26.15
"10784","pcrparin",4,"atlantico",144,"galapa",2008,99.84
"10785","ttdiesti",5,"bolivar",NA,"clemencia",2008,21.15
"10786","ttdiesti",17,"huila",623,"colombia",2008,25.56
"10787","ttdiesti",14,"cundinamarca",512,"cucunuba",2008,22.24
"10788","pcrparin",24,"quindio",208,"buenavista",2008,96.77
"10789","pcrparin",16,"guaviare",615,"san jose del guaviare",2008,96.96
"10790","ttdiesti",6,"boyaca",254,"motavita",2008,25.48
"10791","ttdiesti",8,"caldas",364,"pensilvania",2008,10.7
"10792","pcrparin",27,"santander",NA,NA,2008,98.25064876
"10793","pcrparin",10,"casanare",93,"sabanalarga",2008,97.87
"10794","ttdiesti",2,"antioquia",NA,"la pintada",2008,15.89
"10795","ttdiesti",1,"amazonas",6,"puerto narino",2008,40.18
"10796","pcrparin",21,"narino",765,"sandona",2008,84.48
"10797","ttdiesti",2,"antioquia",122,"urrao",2008,18.88
"10798","ttdiesti",6,"boyaca",276,"saboya",2008,19.13
"10799","ttdiesti",22,"norte de santander",793,"labateca",2008,16.18
"10800","ttdiesti",20,"meta",691,"fuente de oro",2008,28.06
"10801","pcrparin",27,"santander",897,"jesus maria",2008,100
"10802","pcrparin",6,"boyaca",272,"raquira",2008,93.14
"10803","pcrparin",6,"boyaca",318,"ventaquemada",2008,97.88
"10804","pbepredg",8,"caldas",NA,NA,2008,NA
"10805","ttdiesti",11,"cauca",441,"timbio",2008,16.36
"10806","pbehtaco",1,"amazonas",NA,NA,2008,NA
"10807","ttdiesti",29,"tolima",991,"melgar",2008,14.42
"10808","pbretaia",NA,"bogota",NA,NA,2008,NA
"10809","ttdiesti",20,"meta",706,"san juan de arama",2008,28.72
"10810","pcrparin",6,"boyaca",201,"arcabuco",2008,97.62
"10811","pcrparin",5,"bolivar",NA,"san cristobal",2008,100
"10812","rgrtgfec",26,"san andres y providencia",NA,NA,2008,NA
"10813","pcrparin",14,"cundinamarca",587,"tocaima",2008,99.08
"10814","pbrmivih",29,"tolima",NA,NA,2008,20
"10815","pbrmivih",31,"vaupes",NA,NA,2008,NA
"10816","pbehtaco",16,"guaviare",NA,NA,2008,NA
"10817","ttdiesti",6,"boyaca",233,"floresta",2008,27.01
"10818","pcrparin",27,"santander",896,"hato",2008,97.06
"10819","ttdiesti",25,"risaralda",849,"quinchia",2008,14.82
"10820","ttdiesti",9,"caqueta",NA,NA,2008,23.22304078
"10821","ttdiesti",24,"quindio",NA,NA,2008,13.81769074
"10822","pcrparin",10,"casanare",393,"monterrey",2008,99.01
"10823","pbehtaco",29,"tolima",NA,NA,2008,NA
"10824","pcrparin",21,"narino",720,"chachagui",2008,96.76
"10825","pcrparin",27,"santander",906,"matanza",2008,98.59
"10826","pcrparin",13,"choco",NA,"certegui",2008,97.87
"10827","ttdiesti",2,"antioquia",125,"vegachi",2008,15.78
"10828","ttdiesti",29,"tolima",NA,"mariquita",2008,15.17
"10829","ttdiesti",21,"narino",722,"consaca",2008,21.48
"10830","ttdiesti",11,"cauca",435,"san sebastian",2008,29.2
"10831","pcrparin",27,"santander",914,"palmas del socorro",2008,100
