"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"4161","pcrparin",21,"narino",188,"san pablo",2006,95.98
"4162","ttdiesti",6,"boyaca",244,"la capilla",2006,18.31
"4163","pbrmivih",24,"quindio",NA,NA,2006,NA
"4164","ttdiesti",28,"sucre",948,"guaranda",2006,33.69
"4165","pcrparin",5,"bolivar",176,"maria la baja",2006,87.28
"4166","pbehtaco",22,"norte de santander",NA,NA,2006,NA
"4167","ttdiesti",22,"norte de santander",NA,"la playa",2006,21.1
"4168","pcrparin",17,"huila",635,"oporapa",2006,96.49
"4169","ttdiesti",25,"risaralda",842,"guatica",2006,23.18
"4170","pcrparin",11,"cauca",21,"argelia",2006,89.9
"4171","pbrmivih",32,"vichada",NA,NA,2006,NA
"4172","pcrparin",11,"cauca",431,"popayan",2006,97.31
"4173","ttdiesti",6,"boyaca",34,"caldas",2006,19.82
"4174","ptrldeng",15,"guainia",NA,NA,2006,NA
"4175","ttdiesti",NA,"bogota",NA,NA,2006,14.08118725
"4176","ttdiesti",14,"cundinamarca",596,"viani",2006,18.95
"4177","pcrparin",14,"cundinamarca",493,"anolaima",2006,98.41
"4178","ttdiesti",7,"cordoba",335,"pueblo nuevo",2006,27.96
"4179","pcrparin",19,"magdalena",NA,"santa marta",2006,99.58
"4180","pcrparin",2,"antioquia",126,"venecia",2006,97.97
"4181","pcrparin",22,"norte de santander",806,"santiago",2006,100
"4182","ttdiesti",12,"cesar",464,"san alberto",2006,21.88
"4183","pcrparin",11,"cauca",425,"miranda",2006,91.6
"4184","ttdiesti",8,"caldas",353,"filadelfia",2006,25.09
"4185","ctrmormt",13,"choco",NA,NA,2006,12
"4186","ttdiesti",18,"la guajira",654,"el molino",2006,31.04
"4187","pcrparin",12,"cesar",457,"la gloria",2006,91.24
"4188","pcrparin",2,"antioquia",67,"ituango",2006,94.83
"4189","ttdiesti",12,"cesar",465,"san diego",2006,26.63
"4190","ttdiesti",22,"norte de santander",813,"villa del rosario",2006,12.55
"4191","ttdiesti",6,"boyaca",261,"pachavita",2006,18.41
"4192","pbepredg",4,"atlantico",NA,NA,2006,NA
"4193","ttdiesti",14,"cundinamarca",492,"anapoima",2006,15.36
