"";"idindicador";"iddepto";"nomdepto";"idmpio";"nommpio";"year";"idindicador"
"147";"ttdiesti";5;"antioquia";5809;"titiribi";"2005";15,83
"148";"ttdiesti";91;"amazonas";91405;"la chorrera *";"2005";51,39
"149";"ttdiesti";54;"n.santander";54003;"abrego";"2005";18
"150";"pcrparin";23;"cordoba";23670;"san andres de sotavento";"2005";98,16
"151";"ttdiesti";15;"boyaca";15218;"covarachia";"2005";41,18
"152";"pcrparin";85;"casanare";85263;"pore";"2005";97,24
"153";"ttdiesti";25;"cundinamarca";25743;"silvania";"2005";14,73
"154";"ttdiesti";52;"narino";52399;"la union";"2005";21,82
"155";"pcrparin";15;"boyaca";15232;"chiquiza";"2005";94,57
"156";"pcrparin";63;"quindio";63190;"circasia";"2005";99,09
"157";"ttdiesti";5;"antioquia";5660;"san luis";"2005";18,51
"158";"pcrparin";15;"boyaca";15762;"sora";"2005";94,34
"159";"ttdiesti";73;"tolima";73671;"saldana";"2005";16,88
"160";"pcrparin";17;"caldas";17867;"victoria";"2005";92,31
"161";"cgrnacim";23;"cordoba";NA;NA;"2005";20418
"162";"ttdiesti";63;"quindio";63001;"armenia";"2005";12,74
"163";"ttdiesti";25;"cundinamarca";25649;"san bernardo";"2005";12,85
"164";"pcrparin";54;"n.santander";54405;"los patios";"2005";99,42
"165";"pbrmivih";19;"cauca";NA;NA;"2005";NA
"166";"ttdiesti";76;"valle del cauca";76863;"versalles";"2005";18,11
"167";"pcrparin";17;"caldas";17541;"pensilvania";"2005";97,43
"168";"pcrparin";54;"n.santander";54125;"cacota";"2005";100
"169";"ttdiesti";70;"sucre";70215;"corozal";"2005";18,61
"170";"pcrparin";73;"tolima";73870;"villahermosa";"2005";93,79
"171";"pcrparin";68;"santander";68217;"coromoro";"2005";86,54
"172";"pcrparin";5;"antioquia";5284;"frontino";"2005";86,47
"173";"ttdiesti";19;"cauca";19743;"silvia";"2005";29,03
"174";"pcrparin";23;"cordoba";23660;"sahagun";"2005";99,04
"175";"pcrparin";86;"putumayo";86755;"san francisco";"2005";95,79
"176";"pcrparin";76;"valle del cauca";76828;"trujillo";"2005";100
"177";"ttdiesti";68;"santander";68250;"el penon";"2005";40,59
"178";"pbretaia";88;"san andres";NA;NA;"2005";NA
"179";"pcrparin";15;"boyaca";15466;"mongui";"2005";94,67
"180";"pcrparin";25;"cundinamarca";25488;"nilo";"2005";99
"181";"ttdiesti";85;"casanare";85162;"monterrey";"2005";26,16
"182";"ttdiesti";73;"tolima";73236;"dolores";"2005";25,36
"183";"ttdiesti";15;"boyaca";15204;"combita";"2005";26,17
"184";"ttdiesti";47;"magdalena";47268;"el reten";"2005";21,64
"185";"pcrparin";91;"amazonas";91263;"el encanto";"2005";33,33
"186";"ttdiesti";27;"choco";27250;"el litoral del san juan";"2005";45,11
"187";"ttdiesti";68;"santander";68307;"giron";"2005";13,75
"188";"pcrparin";25;"cundinamarca";25328;"guayabal de siquima";"2005";98,59
"189";"caelacex";17;"caldas";NA;NA;"2005";NA
"190";"pcrparin";23;"cordoba";23574;"puerto escondido";"2005";98,83
"191";"ttdiesti";70;"sucre";70204;"coloso";"2005";27,82
"192";"ttdiesti";99;"vichada";NA;NA;"2005";41,62615531
"193";"pcrparin";91;"amazonas";91460;"miriti - parana";"2005";100
"194";"pcrparin";13;"bolivar";13440;"margarita";"2005";89,38
"195";"ttdiesti";47;"magdalena";47001;"santa marta";"2005";16,07
"196";"ttdiesti";5;"antioquia";5315;"guadalupe";"2005";25,68
"197";"ttdiesti";76;"valle del cauca";76890;"yotoco";"2005";18,72
"198";"pcrperca";88;"san andres";NA;NA;"2005";99,59100204
"199";"ttdiesti";20;"cesar";20032;"astrea";"2005";34,84
"200";"ttdiesti";54;"n.santander";54051;"arboledas";"2005";14,93
"201";"ttdiesti";76;"valle del cauca";76622;"roldanillo";"2005";15,17
"202";"pcrparin";73;"tolima";73408;"lerida";"2005";99,42
"203";"pcrparin";68;"santander";68573;"puerto parra";"2005";88
"204";"ttdiesti";25;"cundinamarca";25286;"funza";"2005";12,85
"205";"ttdiesti";17;"caldas";17050;"aranzazu";"2005";21,24
"206";"ttdiesti";15;"boyaca";15776;"sutamarchan";"2005";34,5
"207";"ttdiesti";41;"huila";41807;"timana";"2005";20,61
"208";"ttdiesti";15;"boyaca";15897;"zetaquira";"2005";25,51
"209";"pcrparin";25;"cundinamarca";25290;"fusagasuga";"2005";99,58
